发布部门,标题,发布时间,通知URL,是否有附件,附件信息,下载次数参数
,关于开学第一周集中听课的通知,发布时间：2021-08-28,https://jwch.fzu.edu.cn//../info/1012/11511.htm,有,福州大学课堂教学质量评价标准（2020年修订）.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7668959); 第一周课表20210828.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7668958),"wbfileid=7668959,owner=1744984858; wbfileid=7668958,owner=1744984858"
教学运行,关于2021年秋季学期公共教学楼教室实行错峰下课的通知,发布时间：2021-08-28,https://jwch.fzu.edu.cn//../info/1036/10992.htm,无,无,无
实践科,关于2021年秋季学期学生实习（实践）教学工作的通知,发布时间：2021-08-28,https://jwch.fzu.edu.cn//../info/1039/10853.htm,有,附件：福州大学本科生年度实习计划申请表.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7604616),"wbfileid=7604616,owner=1744984858"
教学运行,关于2021-2022第一学期学生学期选课补退选的通知,发布时间：2021-08-28,https://jwch.fzu.edu.cn//../info/1036/10991.htm,无,无,无
实践科,关于公布2021年大学生劳动教育实践基地立项项目的通知,发布时间：2021-07-22,https://jwch.fzu.edu.cn//../info/1039/10851.htm,无,无,无
实践科,关于公布第二十一届数学竞赛获奖名单的通知,发布时间：2021-07-10,https://jwch.fzu.edu.cn//../info/1039/10849.htm,无,无,无
实践科,关于公布第七届材料创新、设计及应用大赛获奖名单的通知,发布时间：2021-07-10,https://jwch.fzu.edu.cn//../info/1039/10847.htm,无,无,无
实践科,关于公布省级以上大学生创新创业训练计划项目结题成绩的通知,发布时间：2021-07-10,https://jwch.fzu.edu.cn//../info/1039/10845.htm,有,附件2：福州大学2020年国家、省级大学生创新创业训练计划项目结题成绩汇总表.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7604615); 附件1：福州大学2019年国家、省级大学生创新创业训练计划项目结题成绩汇总表.xls(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7604613),"wbfileid=7604615,owner=1744984858; wbfileid=7604613,owner=1744984858"
实践科,关于公布第二十五、二十六期本科生科研训练计划项目结题成绩的通知,发布时间：2021-07-10,https://jwch.fzu.edu.cn//../info/1039/10843.htm,有,附件2：福州大学第26期本科生科研训练计划项目结题成绩汇总表.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7604611); 附件1：福州大学第25期本科生科研训练计划项目结题成绩汇总表.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7604610),"wbfileid=7604611,owner=1744984858; wbfileid=7604610,owner=1744984858"
综合科,教务处关于2021年暑假工作安排的通知,发布时间：2021-07-09,https://jwch.fzu.edu.cn//../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=10773,无,无,无
实践科,关于公布第七届大学生用户体验设计大赛获奖名单的通知,发布时间：2021-07-08,https://jwch.fzu.edu.cn//../info/1039/10838.htm,无,无,无
实践科,关于公布2021届优秀本科生毕业设计（论文）名单的通知,发布时间：2021-07-08,https://jwch.fzu.edu.cn//../info/1039/10840.htm,有,附件：福州大学2021届优秀本科生毕业设计（论文）名单.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7604608),"wbfileid=7604608,owner=1744984858"
质量办,关于第十八期新上岗教师观摩青年教师“最佳一节课”竞赛决赛的通知,发布时间：2021-07-07,https://jwch.fzu.edu.cn//../info/1040/10873.htm,无,无,无
实践科,关于继续选派本科生到晋江企业实习的通知,发布时间：2021-07-05,https://jwch.fzu.edu.cn//../info/1039/10836.htm,无,无,无
实践科,关于召开2021年大学生劳动教育实践基地申报项目评审会的通知,发布时间：2021-06-30,https://jwch.fzu.edu.cn//../info/1039/10835.htm,无,无,无
计划科,关于核对2021-2022学年第一学期通识教育选修课开课信息的有关通知,发布时间：2021-06-30,https://jwch.fzu.edu.cn//../info/1038/10808.htm,无,无,无
教学运行,关于2021-2022学年第一学期辅修专业选课的通知,发布时间：2021-06-30,https://jwch.fzu.edu.cn//../info/1036/10990.htm,无,无,无
,关于召开福州大学2020-2021学年春季学期期末教学工作会议的通知,发布时间：2021-06-29,https://jwch.fzu.edu.cn//../info/1012/11053.htm,无,无,无
,关于组织收看福建省新文科建设论坛暨推进大会视频会议的通知,发布时间：2021-06-25,https://jwch.fzu.edu.cn//../info/1012/11052.htm,无,无,无
,关于举办福州大学第二十四场“教学有道”研讨活动的通知,发布时间：2021-06-25,https://jwch.fzu.edu.cn//../info/1012/11045.htm,无,无,无
教学运行,关于2020-2021学年第二学期《大学英语（二）、（四）》课期末考试安排的通知,发布时间：2021-06-25,https://jwch.fzu.edu.cn//../info/1036/10986.htm,无,无,无
教学运行,关于2020-2021学年第二学期《高等数学A（上）、A（下）、B（上）、C（上）》课独立重修班期末考试安排的通知,发布时间：2021-06-25,https://jwch.fzu.edu.cn//../info/1036/10985.htm,无,无,无
教学运行,关于2020-2021学年第二学期大学英语拓展课期末考试安排的通知,发布时间：2021-06-25,https://jwch.fzu.edu.cn//../info/1036/10988.htm,无,无,无
教学运行,关于2020-2021学年第二学期《大学英语（三）》课期末考试安排的通知,发布时间：2021-06-25,https://jwch.fzu.edu.cn//../info/1036/10987.htm,无,无,无
教学运行,关于2020-2021学年第二学期《高等数学A（中）、B（下）、C（下）》课期末考试安排的通知,发布时间：2021-06-25,https://jwch.fzu.edu.cn//../info/1036/10984.htm,无,无,无
教学运行,关于2020-2021学年第二学期《大学物理A（上）、B（上）、C》课期末考试安排的通知,发布时间：2021-06-25,https://jwch.fzu.edu.cn//../info/1036/10989.htm,无,无,无
,关于举办福州大学第二十三场“教学有道”研讨活动的通知,发布时间：2021-06-22,https://jwch.fzu.edu.cn//../info/1012/11044.htm,无,无,无
教学运行,关于2021-2022学年第一学期学生学期选课的通知,发布时间：2021-06-22,https://jwch.fzu.edu.cn//../info/1036/10983.htm,无,无,无
教学运行,福州大学关于印发2021—2022学年校历的通知,发布时间：2021-06-22,https://jwch.fzu.edu.cn//../info/1036/11003.htm,无,无,无
,关于举办福州大学第二十二场“教学有道”研讨活动的通知,发布时间：2021-06-21,https://jwch.fzu.edu.cn//../info/1012/11041.htm,无,无,无
,关于举办福州大学第二十一场“教学有道”研讨活动的通知,发布时间：2021-06-10,https://jwch.fzu.edu.cn//../info/1012/11075.htm,无,无,无
实践科,关于公布第十一届大学生节能减排社会实践与科技竞赛获奖名单的通知,发布时间：2021-06-10,https://jwch.fzu.edu.cn//../info/1039/10488.htm,无,无,无
实践科,关于公布第十届大学生工程训练综合能力竞赛获奖名单的通知,发布时间：2021-06-10,https://jwch.fzu.edu.cn//../info/1039/10489.htm,无,无,无
实践科,关于公布第七届桥梁设计大赛获奖名单的通知,发布时间：2021-06-10,https://jwch.fzu.edu.cn//../info/1039/10487.htm,无,无,无
教学运行,关于2020-2021学年第二学期《工程制图A、C、D、F》课期末考试安排的通知,发布时间：2021-06-10,https://jwch.fzu.edu.cn//../info/1036/7288.htm,无,无,无
实践科,关于组织申报2021年大学生劳动教育实践基地的通知,发布时间：2021-06-08,https://jwch.fzu.edu.cn//../info/1039/8667.htm,有,附件：福州大学大学生劳动教育实践基地申报书.docx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605188),"wbfileid=7605188,owner=1744984858"
教学运行,关于2020-2021学年第二学期《概率论与数理统计》课期末考试安排的通知,发布时间：2021-06-04,https://jwch.fzu.edu.cn//../info/1036/7285.htm,无,无,无
教学运行,关于2021年端午放假课程调整的通知,发布时间：2021-06-04,https://jwch.fzu.edu.cn//../info/1036/7283.htm,无,无,无
教学运行,关于2020-2021学年第二学期《线性代数》课期末考试安排的通知,发布时间：2021-06-04,https://jwch.fzu.edu.cn//../info/1036/7286.htm,无,无,无
,福州大学关于开展2020-2021学年本科教学优秀奖评选工作的通知,发布时间：2021-06-02,https://jwch.fzu.edu.cn//../info/1012/11070.htm,有,福州大学关于开展2020-2021学年教学优秀奖评选工作附件1-4.rar(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7668988),"wbfileid=7668988,owner=1744984858"
综合科,关于做好2021-2022学年 第一学期教材选用及征订工作的通知,发布时间：2021-06-02,https://jwch.fzu.edu.cn//../info/1035/7301.htm,有,附件4：2021年秋季全国大中专教材用书汇编数据-仅出版社.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605009); 附件1：福州大学教材选用与供应管理办法（福大教【2020】22号）.docx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605008); 附件2：教育部办公厅关于加强高等学校使用外国教材管理的通知.docx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605006); 附件3：已出版马克思主义理论研究和建设工程重点教材目录（截至2021年06月，共计99种）.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605007),"wbfileid=7605009,owner=1744984858; wbfileid=7605008,owner=1744984858; wbfileid=7605006,owner=1744984858; wbfileid=7605007,owner=1744984858"
综合科,关于2020-2021学年第二学期本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知,发布时间：2021-06-02,https://jwch.fzu.edu.cn//../info/1035/7297.htm,无,无,无
实践科,关于2021届本科生毕业设计（论文）推优和抽检工作的通知,发布时间：2021-06-01,https://jwch.fzu.edu.cn//../info/1039/8665.htm,无,无,无
,关于举办福州大学第二十场“教学有道”研讨活动的通知,发布时间：2021-06-01,https://jwch.fzu.edu.cn//../info/1012/11066.htm,无,无,无
,关于转发《“教学有道 铸魂育人”高等院校教师课程思政建设能力提升在线培训》的通知,发布时间：2021-05-31,https://jwch.fzu.edu.cn//../info/1012/11064.htm,有,附件1-“教学有道 铸魂育人”高等院校教师课程思政建设能力提升在线培训安排及报名等事宜.jpg(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7668986); 附件2-报名表.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7668987),"wbfileid=7668986,owner=1744984858; wbfileid=7668987,owner=1744984858"
实践科,关于公布第二十七期本科生科研训练计划立项项目的通知,发布时间：2021-05-31,https://jwch.fzu.edu.cn//../info/1039/8663.htm,有,福州大学2021年国家级、省级大学生创新创业训练计划立项项目汇总表.xls(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605186); 福州大学第二十七期本科生科研训练计划立项项目汇总表.xls(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605187),"wbfileid=7605186,owner=1744984858; wbfileid=7605187,owner=1744984858"
实践科,关于公布2020-2021学年第二学期本科生创新创业实践与素质拓展学分认定结果的通知,发布时间：2021-05-26,https://jwch.fzu.edu.cn//../info/1039/8661.htm,有,2020-2021学年第二学期本科生创新创业实践与素质拓展学分认定汇总表.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605219),"wbfileid=7605219,owner=1744984858"
实践科,关于公布首届大学生先进成图技术与产品信息建模创新大赛获奖名单的通知,发布时间：2021-05-26,https://jwch.fzu.edu.cn//../info/1039/8657.htm,无,无,无
实践科,关于公布第十八届程序设计竞赛获奖名单的通知,发布时间：2021-05-26,https://jwch.fzu.edu.cn//../info/1039/8658.htm,无,无,无
实践科,关于2021年全国大学生数学建模竞赛队员选拔的通知,发布时间：2021-05-26,https://jwch.fzu.edu.cn//../info/1039/8655.htm,无,无,无
实践科,关于公布2021年瑞芯微杯大学生电子设计竞赛获奖名单的通知,发布时间：2021-05-26,https://jwch.fzu.edu.cn//../info/1039/8659.htm,无,无,无
,关于组织申报2021年省级虚拟仿真实验教学一流本科课程工作的通知,发布时间：2021-05-25,https://jwch.fzu.edu.cn//../info/1012/11058.htm,无,无,无
质量办,福州大学关于开展课程考核专项检查工作的预通知,发布时间：2021-05-24,https://jwch.fzu.edu.cn//../info/1040/8983.htm,有,附件3--《福州大学课程达成度评价表》（参考样表）.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605538); 附件1--.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605536); 附件2--《福州大学课程考核合理性评价表》（参考样表）.docx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605537),"wbfileid=7605538,owner=1744984858; wbfileid=7605536,owner=1744984858; wbfileid=7605537,owner=1744984858"
,2020-2021学年第二学期在校学生申请辅修专业的通知,发布时间：2021-05-21,https://jwch.fzu.edu.cn//../info/1012/11096.htm,无,无,无
教学运行,关于2020-2021学年第二学期计算机公共基础课期末考试安排的通知,发布时间：2021-05-20,https://jwch.fzu.edu.cn//../info/1036/7282.htm,无,无,无
教学运行,关于2020-2021学年第二学期《网络资源与信息检索》期末考试安排的通知,发布时间：2021-05-19,https://jwch.fzu.edu.cn//../info/1036/7281.htm,无,无,无
教学运行,关于2022届预计毕业生核对电子注册学历信息的通知,发布时间：2021-05-18,https://jwch.fzu.edu.cn//../info/1036/7279.htm,无,无,无
,关于组织申报2021-2022学年第一学期通识教育选修课的通知,发布时间：2021-05-18,https://jwch.fzu.edu.cn//../info/1012/11093.htm,无,无,无
质量办,关于举办福州大学第十九场“教学有道”研讨活动的通知,发布时间：2021-05-18,https://jwch.fzu.edu.cn//../info/1040/8868.htm,无,无,无
教学运行,关于新冠病毒疫苗接种期间调补课的通知,发布时间：2021-05-15,https://jwch.fzu.edu.cn//../info/1036/7278.htm,无,无,无
教学运行,关于2020-2021学年第二学期《工程制图E》期末考试安排的通知,发布时间：2021-05-14,https://jwch.fzu.edu.cn//../info/1036/7277.htm,无,无,无
质量办,关于举办福州大学第十八场“教学有道”研讨活动的通知,发布时间：2021-05-12,https://jwch.fzu.edu.cn//../info/1040/8867.htm,无,无,无
教学运行,关于2021届预计毕业生补拍电子注册学历照片的通知,发布时间：2021-05-11,https://jwch.fzu.edu.cn//../info/1036/7275.htm,无,无,无
综合科,关于2021年全国大学生英语竞赛获奖名单的通知,发布时间：2021-05-10,https://jwch.fzu.edu.cn//../info/1035/7296.htm,无,无,无
实践科,关于组织申报第二批国家级虚拟仿真实验教学一流本科课程工作的通知,发布时间：2021-05-07,https://jwch.fzu.edu.cn//../info/1039/8654.htm,无,无,无
实践科,关于2021届本科毕业生创新创业实践与素质拓展学分认定工作的通知,发布时间：2021-05-07,https://jwch.fzu.edu.cn//../info/1039/8645.htm,有,附件.rar(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605205),"wbfileid=7605205,owner=1744984858"
实践科,关于做好第二十五期、二十六期本科生科研训练计划项目结题工作的通知,发布时间：2021-04-30,https://jwch.fzu.edu.cn//../info/1039/8641.htm,有,srtp项目结题附件.zip(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605203),"wbfileid=7605203,owner=1744984858"
实践科,关于做好国家、省级大学生创新创业训练计划项目结题工作的通知,发布时间：2021-04-30,https://jwch.fzu.edu.cn//../info/1039/8643.htm,有,国创省创结题附件.zip(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605204),"wbfileid=7605204,owner=1744984858"
实践科,关于举办福州大学第十八届程序设计竞赛暨校ACM/ICPC集训队选拔赛的通知,发布时间：2021-04-29,https://jwch.fzu.edu.cn//../info/1039/8640.htm,无,无,无
教学运行,关于2020-2021学年第二学期《大学英语（三）》半期考试安排的通知,发布时间：2021-04-26,https://jwch.fzu.edu.cn//../info/1036/7273.htm,无,无,无
质量办,关于期中党政领导集中听课的通知,发布时间：2021-04-25,https://jwch.fzu.edu.cn//../info/1040/8865.htm,无,无,无
教研教改,福州大学关于组织开展2021年一流本科课程建设项目申报的通知,发布时间：2021-04-22,https://jwch.fzu.edu.cn//../info/1037/8206.htm,无,无,无
综合科,关于2021 年全国大学生英语竞赛初赛参赛通知,发布时间：2021-04-21,https://jwch.fzu.edu.cn//../info/1035/11525.htm,无,无,无
教学运行,关于2020-2021学年第二学期《高等数学》半期考试安排的通知,发布时间：2021-04-21,https://jwch.fzu.edu.cn//../info/1036/7271.htm,无,无,无
教学运行,关于2021年五一节放假课程调整的通知,发布时间：2021-04-20,https://jwch.fzu.edu.cn//../info/1036/7269.htm,无,无,无
质量办,关于举办福州大学第十七场“教学有道”研讨活动的通知,发布时间：2021-04-15,https://jwch.fzu.edu.cn//../info/1040/8864.htm,无,无,无
教研教改,关于公布福州大学2021年课程思政教材建设项目的通知,发布时间：2021-04-14,https://jwch.fzu.edu.cn//../info/1037/8194.htm,无,无,无
实践科,关于公布第二十五、二十六期本科生科研训练计划项目结题成绩的通知,发布时间：2021-04-13,https://jwch.fzu.edu.cn//../info/1039/8636.htm,有,附件：福州大学2019年国家、省级大学生创新创业训练计划项目结题成绩汇总表.xls(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605198),"wbfileid=7605198,owner=1744984858"
实践科,关于做好第二十七期本科生科研训练计划项目立项工作的通知,发布时间：2021-04-13,https://jwch.fzu.edu.cn//../info/1039/8633.htm,有,附件：福州大学第二十七期本科生科研训练项目选题来源情况一览表（2021年）.xls(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605196),"wbfileid=7605196,owner=1744984858"
实践科,关于公布省级以上大学生创新创业训练计划项目结题成绩的通知,发布时间：2021-04-13,https://jwch.fzu.edu.cn//../info/1039/8638.htm,有,附件：福州大学2019年国家、省级大学生创新创业训练计划项目结题成绩汇总表.xls(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605202),"wbfileid=7605202,owner=1744984858"
实践科,关于举办福州大学第二十一届数学竞赛暨第十三届全国大学生数学竞赛选拔赛的通知,发布时间：2021-04-12,https://jwch.fzu.edu.cn//../info/1039/8631.htm,有,附件下载.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605195),"wbfileid=7605195,owner=1744984858"
实践科,关于公布第七届全国大学生工程训练综合能力竞赛企业运营仿真赛项福州大学校赛获奖名单的通知,发布时间：2021-04-12,https://jwch.fzu.edu.cn//../info/1039/8629.htm,无,无,无
教学运行,关于2021届预计毕业生核对电子注册学历照片的通知,发布时间：2021-04-06,https://jwch.fzu.edu.cn//../info/1036/7267.htm,无,无,无
实践科,关于举办福州大学首届大学生先进成图技术与产品信息建模创新大赛的通知,发布时间：2021-04-01,https://jwch.fzu.edu.cn//../info/1039/8627.htm,有,附件2：福州大学首届大学生先进成图技术与产品信息建模创新大赛报名表.xls(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605194),"wbfileid=7605194,owner=1744984858"
实践科,关于举办福州大学第七届材料创新、设计及应用大赛的通知,发布时间：2021-03-30,https://jwch.fzu.edu.cn//../info/1039/8624.htm,有,附件 (2).doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605192),"wbfileid=7605192,owner=1744984858"
教学运行,关于2021年清明节放假课程调整的通知,发布时间：2021-03-30,https://jwch.fzu.edu.cn//../info/1036/7265.htm,无,无,无
实践科,关于举办福州大学第十一届大学生节能减排社会实践与科技竞赛的通知,发布时间：2021-03-30,https://jwch.fzu.edu.cn//../info/1039/8703.htm,有,附件.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605189),"wbfileid=7605189,owner=1744984858"
实践科,关于2021年全国大学生统计建模大赛参赛报名的通知,发布时间：2021-03-30,https://jwch.fzu.edu.cn//../info/1039/8707.htm,有,关于举办2021年（第七届）全国大学生统计建模大赛的通知.pdf(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605190),"wbfileid=7605190,owner=1744984858"
质量办,关于举办福州大学第十六场“教学有道”研讨活动的通知,发布时间：2021-03-29,https://jwch.fzu.edu.cn//../info/1040/8862.htm,无,无,无
教研教改,关于组织报名参加福建省新工科建设论坛暨推进大会的通知,发布时间：2021-03-29,https://jwch.fzu.edu.cn//../info/1037/8191.htm,无,无,无
综合科,关于组织参加教育部高教司2021年全国高教处长视频会议的通知,发布时间：2021-03-26,https://jwch.fzu.edu.cn//../info/1035/7293.htm,无,无,无
实践科,关于举办福州大学第七届大学生用户体验设计大赛的通知,发布时间：2021-03-26,https://jwch.fzu.edu.cn//../info/1039/8701.htm,无,无,无
教学运行,关于做好2021-2022学年第一学期排课准备工作的通知,发布时间：2021-03-26,https://jwch.fzu.edu.cn//../info/1036/7264.htm,无,无,无
实践科,关于举办福州大学第十届大学生软件设计与服务外包创新创业竞赛的通知,发布时间：2021-03-26,https://jwch.fzu.edu.cn//../info/1039/8699.htm,无,无,无
教学运行,关于2020-2021学年第二学期独立重修班开课情况的通知,发布时间：2021-03-23,https://jwch.fzu.edu.cn//../info/1036/7261.htm,无,无,无
实践科,关于公布大学生学科竞赛项目级别认定结果的通知,发布时间：2021-03-23,https://jwch.fzu.edu.cn//../info/1039/8697.htm,有,附件2：福州大学大学生学科竞赛项目级别认定一览表.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605257); 附件1：福州大学大学生学科竞赛级别直接认定项目汇总表.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605258),"wbfileid=7605257,owner=1744984858; wbfileid=7605258,owner=1744984858"
综合科,关于2020-2021学年第二学期本科生学生证补办的通知,发布时间：2021-03-23,https://jwch.fzu.edu.cn//../info/1035/7292.htm,无,无,无
综合科,关于召开福州大学2020-2021学年春季学期期初本科教学工作会议的通知,发布时间：2021-03-17,https://jwch.fzu.edu.cn//../info/1035/7291.htm,无,无,无
实践科,关于举办2021年瑞芯微杯福州大学大学生电子设计竞赛暨全国大学生电子设计竞赛选拔赛的通知,发布时间：2021-03-17,https://jwch.fzu.edu.cn//../info/1039/8695.htm,有,附件2：2021年瑞芯微杯福州大学大学生电子设计竞赛暨全国大学生电子设计竞赛选拔赛报名表.xls(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605256); 附件1：2021年瑞芯微杯大学生电子设计竞赛暨全国大学生电子设计竞赛选拔赛竞赛组委会成员名单.docx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605255),"wbfileid=7605256,owner=1744984858; wbfileid=7605255,owner=1744984858"
教学运行,关于2020-2021-2学期选课、辅修选课人工补选的通知,发布时间：2021-03-16,https://jwch.fzu.edu.cn//../info/1036/7259.htm,无,无,无
计划科,关于通识选修课《爱课程：美化嗓音 轻松讲课》开课的友情提示,发布时间：2021-03-16,https://jwch.fzu.edu.cn//../info/1038/8177.htm,无,无,无
教学运行,关于组织全体本科生核对英文姓名的通知,发布时间：2021-03-15,https://jwch.fzu.edu.cn//../info/1036/7256.htm,无,无,无
计划科,关于公布2020-2021学年第二学期通选课取消开课名单的通知,发布时间：2021-03-15,https://jwch.fzu.edu.cn//../info/1038/8175.htm,无,无,无
教学运行,关于2020-2021学年第二学期重修选课的通知,发布时间：2021-03-15,https://jwch.fzu.edu.cn//../info/1036/7258.htm,无,无,无
实践科,关于组织参加第十三届全国周培源大学生力学竞赛的通知,发布时间：2021-03-12,https://jwch.fzu.edu.cn//../info/1039/8692.htm,有,2020-2021学年第一学期本科生创新创业实践与素质拓展学分认定汇总表.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605254),"wbfileid=7605254,owner=1744984858"
教学运行,关于2021年春季学期公共教学楼教室实行错峰下课的通知,发布时间：2021-03-12,https://jwch.fzu.edu.cn//../info/1036/7323.htm,无,无,无
实践科,关于公布本科生创新创业实践与素质拓展学分认定结果的通知,发布时间：2021-03-03,https://jwch.fzu.edu.cn//../info/1039/8690.htm,有,2020-2021学年第一学期本科生创新创业实践与素质拓展学分认定汇总表.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605252),"wbfileid=7605252,owner=1744984858"
计划科,关于2020-2021学年第二学期通识教育选修课选课须知,发布时间：2021-02-28,https://jwch.fzu.edu.cn//../info/1038/8170.htm,无,无,无
计划科,关于2020-2021学年第二学期港澳台侨学生思政课和军事课程退选替代的通知,发布时间：2021-02-28,https://jwch.fzu.edu.cn//../info/1038/8173.htm,无,无,无
质量办,关于开学第一周集中听课的通知,发布时间：2021-02-26,https://jwch.fzu.edu.cn//../info/1040/8860.htm,有,附件：福州大学第二十七期本科生科研训练项目选题来源情况一览表（2021年）.xls(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605533),"wbfileid=7605533,owner=1744984858"
实践科,关于2021年春季学期学生实习（实践）教学工作的通知,发布时间：2021-02-26,https://jwch.fzu.edu.cn//../info/1039/8689.htm,有,附件：福州大学本科生+ +年度实习计划申请表.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605247),"wbfileid=7605247,owner=1744984858"
教学运行,关于2020-2021第二学期学期选课补退选的通知,发布时间：2021-02-25,https://jwch.fzu.edu.cn//../info/1036/7321.htm,无,无,无
教学运行,关于2020-2021第二学期辅修专业补退选、缴费的通知,发布时间：2021-02-25,https://jwch.fzu.edu.cn//../info/1036/7322.htm,无,无,无
教学运行,福州大学关于加强“教授承担本科生教学任务”专项工作通知,发布时间：2021-02-10,https://jwch.fzu.edu.cn//../info/1036/7320.htm,无,无,无
综合科,教务处关于2021年寒假工作安排的通知,发布时间：2021-01-18,https://jwch.fzu.edu.cn//../info/1035/7289.htm,无,无,无
实践科,关于做好2021届本科生毕业设计（论文）工作的通知,发布时间：2021-01-15,https://jwch.fzu.edu.cn//../info/1039/8687.htm,有,2021届福州大学本科生毕业设计（论文）所有表格.rar(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605246); 福州大学本科生毕业设计（论文）撰写规范+.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7605245),"wbfileid=7605246,owner=1744984858; wbfileid=7605245,owner=1744984858"
