programName,difficulty,techTag,Introduce,OutputRequirements
基于secGear的高效数据库存储设计与实现。,进阶/Advanced,"[[""os"",""Linux""],[""codelang"",""Programming Language""]]",（1）相关背景：随着云计算技术的迅速普及，对于云服务器来说，实现高效安全的数据库服务越来越重要。对于用户来说，在云服务器上托管敏感数据可能会导致严重的隐私泄露隐患，因为使用云服务就意味着用户必须要信任云服务器环境上的所有软件，包括操作系统、监视器等特权软件，也要信任云服务提供商以及相关工作人员，但这些部分现实中往往是不可信任的。机密计算则作为近年来可信计算领域的一项新兴技术应运而生，它为用户提供了一种硬件隔离沙箱环境，能够保护内部数据的安全。（2）已有的工作：现有的基于机密计算的数据库存储方案如SecureKV、EnclaveDB等等，设计的存储架构在优化性能与安全做了比较好的平衡。（3）存在的不足：虽然这些工作在很大程度上提高了在云计算环境当中使用机密计算进行数据库存储的效率，但相比于非机密计算环境下的效率还是低很多，有更高的延迟以及更低的吞吐量。（4）希望改进的点：这些缺点主要来源于SGX 中的一些限制，因为安全内存EPC的大小被限制在128MB，在面对大量数据处理的环境中会引起频繁的页面交换，严重影响系统的响应速度和吞吐量。（5）最终项目实现的目标：secGear是华为自主研发的机密计算框架，通过将计算隔离到基于硬件的受信任执行环境以保护运行态数据，并且将不同处理器架构的机密计算方案的差异在软件层面抹平。因此在现有工作的基础上设计一种基于secGear的高效数据库存储方案，在enclave内存有限的情况下通过TEE技术的结合，既保护数据，又能利用其他的方案减少这种限制对于系统性能的影响。,1. 设计并实现一种基于secGear的高效数据库存储方案，对所实现的存储方案进行安全性分析及性能评估2. 将实现的方案与现有工作（如：EnclaveDB）进行实验对比并分析，要求减轻EPC在面对大量数据处理的环境中频繁的页面交换，从而提高系统的响应速度和吞吐量，最终提升在50%以上3. 提交功能代码和测试代码
基于Frama-C的openHiTLS国密算法（SM3/SM4）形式化验证与安全增强,进阶,"[[""safe"",""AES""],[""safe"",""RSA""],[""safe"",""SSL/TLS""]]",课题背景1、SM3/SM4作为国家商用密码标准，在金融、政务等场景广泛应用，但算法实现中的逻辑漏洞（如整数溢出、边界条件处理不当）可能引发严重安全风险2、Frama-C是支持C代码形式化验证的开源工具，可通过ACSL（ANSI/ISO C Specification Language）规范描述算法数学逻辑，结合WP插件生成证明义务并调用SMT求解器（如Alt-Ergo、Z3）进行验证。课题目标1、使用Frama-C对openHiTLS中、SM3（哈希计算）、SM4（加解密）的核心函数进行形式化建模，验证其与国密标准（GM/T 0003-2012等）的一致性。2、发现并修复代码中潜在逻辑错误（如内存越界、未处理异常分支）。,1. 使用openHiTLS对接Frama-C工具，进行SM3、SM4对应数学模型建模，完成SM3、SM4算法接口的内存安全验证
修复 nydus 运行时 shared mode 下的 inode cache 问题,进阶,"[[""datas"",""AI""],[""cloudnative"",""Kubernetes""],[""os"",""FUSE""]]",镜像是容器基础设施中的一个重要部分，目前 OCI 标准镜像的缺陷之一是容器需要等待整个镜像数据下载完成后才能启动，这导致了容器启动时消耗了过多的端到端时间。开源容器镜像加速项目 Nydus 能够使得容器做到秒级冷启动，在镜像构建，分发与运行时，以及性能与安全性上有诸多探索，目前 Nydus 服务了每日百万级的容器创建，也在 AI 模型镜像分发上有着诸多落地场景。本题目是修复 nydus 运行时 shared mode 下的 inode cache 问题。,1. nydus 在多个文件系统子挂载点情况下，当用户 umount 子挂载点后，没有正常 invalid fuse 的 entry 和 inode cache，需要调查并进行修复，该问题需要对文件系统及 fuse lib 有一些了解，并编写单元测试，集成测试，以及用户文档。
为Linux Kernel扩充更多基于RISC-V V扩展和K扩展的SHA-3算法加速实现,基础/Basic,"[[""os"",""RISC-V""],[""os"",""Linux""],[""safe"",""Cryptography""]]","当前Linux内核中近ARM64架构对SHA-3(FIPS 202)算法进行了基于密码算法指令集扩展的SHA3实现。相比于ARM64架构的ARM CE,RISC-V架构的K扩展对SHA-3算法的支持并不完善，但是可以借助V扩展实现一个次一级效果的SHA-3加速器。SHA-3标准：https://www.nist.gov/news-events/news/2015/08/nist-releases-sha-3-cryptographic-hash-standard",1. 实现一个Linux内核模块，提供基于RISC-V V扩展和K扩展进行SHA-3算法运算的能力。
openInula 2.0 编译器 Rust化,进阶,"[[""web"",""Babel""],[""web"",""React""],[""web"",""Webpack""],[""web"",""Web Application""],[""os"",""Compiler""]]",随着Rust语言在性能和安全性方面的优势，越来越多的项目开始迁移到Rust技术栈。该项目的目标是将openInula 2.0框架中的编译器部分迁移到Rust，利用Rust的高性能和内存安全特性提升编译器的效率和稳定性。同时，可以借助Rust生态中的工具和库，如rolldown、oxc等，进一步优化编译过程。已有工作：1、openInula 2.0框架目前使用的编译器部分主要基于现有babel的技术栈，使用TS编写。2、Rust语言在性能、并发处理等方面表现出色，已经有一些成功的项目将编译器部分迁移到了Rust。存在的不足：1、现有的编译器部分性能较低，且在处理复杂任务时容易出现瓶颈。目标：1、将openInula 2.0框架的编译器部分（jsx解析模块）迁移到Rust技术栈，提升性能和稳定性。2、利用Rust的优势实现高效的编译过程，并支持跨平台使用。,1. 技术栈要求：Rust，rolldown、oxc等相关工具，openInula 2.0框架。2.功能要求
基于时间序列预测方法的降雨预测,进阶,"[[""datas"",""AI""]]",ModelRain是基于Informer时序预测模型并利用已有的气象数据以及水汽数据进行1-3小时天气预报的一款降雨预报模型。使用 MindSpore 复现 ModelRain模型，有望借助其特性，进一步提升模型训练与部署效率，推动气象预报领域的发展，为降水预报提供更有力的支持 。,1. 需要参与任务的人员基于 MindSpore 深度学习框架，完成 ModelRain模型的复现工作。具体而言，要依据 ModelRain 模型的原理和架构，使用 MindSpore 的 API 进行代码编写，构建模型的各个组件，包括但不限于网络结构搭建、数据处理流程设计、模型训练与优化等环节。确保复现后的模型能够在给定数据集上达到与原模型相近的性能表现，在降水预报等场景中发挥作用，同时要对复现过程进行详细记录和总结。
为Arthas 实现 MCP 服务,进阶,"[[""datas"",""AI""],[""dev"",""AIOps""]]",目前 MCP 协议越来越流行，Arthas 需要在Server端支持 MCP 协议，把诊断功能暴露出来，方便各种AI工具集成。最终实现的效果是：,1. 使用 netty 或者 JDK 自身的 http 库实现 mcp server2. 支持最新的 https://modelcontextprotocol.io/specification/2025-03-26 协议规范3. 需要实现 Streamable HTTP，支持 Mcp-Session-Id 重连4. 需要使用第三方客户端实现集成测试
低代码物料快速导入能力,基础,"[[""web"",""UI""],[""web"",""Vue.js""]]",本赛题旨在增强TinyEngine的低代码物料导入能力，使用户能够快速将外部组件库/组件导入到TinyEngine中，根据文档或者源码快速自动生成物料配置文件。建议结合AI技术，实现自动化的物料导入流程。,1. 实现一个物料系统，包含完整前后端，能够正常的启动与部署。2. 物料系统实现低代码物料的快速生成功能，支持从不同源导入物料（如文档代码库、文档URL、文件、输入的信息）生成最终的物料文件，并支持预览物料文件在TinyEngine效果。3. 支持物料的可视化或者自然语言(结合AI)二次调整优化。4. 支持物料相关的必要的合并分割、物料管理等能力。5. 界面引导清晰，交互友好，无明显问题；提供必要的设计与使用文档；代码逻辑清晰，模块划分合理，可维护性强，符合项目开发规范。
RISC-V IOMMU HPM & Nested支持 ,进阶,"[[""os"",""Linux""],[""os"",""RISC-V""],[""os"",""QEMU""],[""os"",""Virtualization""]]",本项目旨在为EulixOS/OLK-6.6移植RISC-V IOMMU 硬件性能监控（hardware performance monitor）和嵌套 IOMMU 支持。同时，还引入了更多操作，这些操作是嵌套IOMMU 所需的，例如和。该项目基于的RISC-V IOMMU 规范已经通过批准，并可在 GitHub/riscv-non-isa [1] 获取。在高层次上，RISC-V IOMMU 规范定义了以下内容：1.数据结构：：将设备与地址空间关联，并保存用于地址转换的每设备参数。：基于设备提供的进程标识号（process identification numbers）关联不同的虚拟地址空间。：用于将MSI（Message Signaled Interrupts）定向到 IMSIC（Incoming Message Signaled Interrupt Controller）中的客户中断文件。2.内存中的队列接口：：用于向IOMMU 发送命令。：用于报告故障和事件。：用于报告从PCIe 设备接收的“页面请求”消息。。3.内存映射编程接口：强制和可选的寄存器布局及描述。设备初始化和功能发现。[1],"1. 基于EulixOS/OpenEuler-OLK6.6移植适配：
- RISC-V IOMMU硬件性能监控。  
- 嵌套IOMMU支持。2. RISC-V IOMMU核心功能测试验证：
- 制定RISC-V IOMMU HPM/Nested测试方案。
- 梳理筛选iommu-selftests的功能点，适配RISC-V架构。
- 基于iommu-selftests测试套件，验证并完善RISC-V IOMMU特性。3. 探索支持其它RISC-V IOMMU内核特性：
- 对比ARM/X86架构，分析其它架构与RISC-V IOMMU支持的硬件差异。 
- 对比ARM/X86 IOMMU内核实现，完善RISC-V IOMMU内核支持。"
基于RustSBI文档的FAQ问答库设计与实现,进阶,"[[""datas"",""AI""],[""datas"",""LLM""],[""os"",""RISC-V""]]",在智能对话系统中，FAQ指的是高频的常见的问题，缓存为一个基础的问答库，这样就不用每次都通过模型生成相应的答案，因为模型生成答案一个问题是存在不确定性，不一定生成的答案就是正确的，另外一点是模型生成答案的速度通常较慢，较为消耗资源，因此通过FAQ库可以一定程度缓解上述问题。构建FAQ库首先是需要生成Question和Answer数据对，随着大模型技术的发展，数据生成变得越来越简单，因此可以通过结合大模型技术生成Question和对应的Answer。然而生成高质量的数据并不是一件简单的事情，因此最重要的是需要考虑如何生成更高质量的Question和Answer。在生成了相应的数据后，通过Faiss等向量检索库，完成语义检索问答功能。,1. 完成Q-A对生成代码，包括完整的prompt、大模型调用等2. 对生成的数据进行精炼迭代，产出高质量Q-A数据不少于300条3. 搭建语义检索向量库，具备语义检索问答功能4. 提供代码使用说明
为 TDengine 完善逻辑备份和恢复功能,进阶,"[[""datas"",""Database""],[""datas"",""Structured Database""],[""datas"",""MySQL""]]",TDengine 是一款专为物联网、工业互联网等场景设计并优化的大数据平台，其核心模块是高性能、集群开源、云原生、极简的时序数据库。它能安全高效地将大量设备每天产生的高达 TB 甚至 PB 级的数据进行汇聚、存储、分析和分发，并提供 AI 智能体对数据进行预测与异常检测，提供实时的商业洞察。目前，TDengine Enterprise 已支持基于 TMQ（Time-Series Message Queue）的增量备份和恢复解决方案，但该方案存在：初始备份性能差、耗时长的问题。本项目的目标是，基于数据库查询/存储引擎调用/数据文件扫描等方式，对指定时间范围的时序数据进行备份，备份文件能够支持高效的数据恢复。解决方案能够实现以下目标：,1. 代码提交到 TDengine 仓库，通过 Review 并成功合并到主分支；2. TDengine 逻辑备份和恢复的技术文档，包括：User Manual、Functional Specification、Test Specification。
利用AGIROS实现机器狗导航和控制,进阶,"[[""datas"",""AI""]]",：机器狗和人形机器人普遍采用ubuntu操作系统，并且与国外ROS可实现对接。而国内开源机器人操作系统AGIROS缺乏优秀的实践，本项目将基于AGIROS实现四足机器人的导航控制，验证国产系统的建图和路径规划等能力。：已经编译了部分AGIROS包，以及对教学类puppy小狗的分析。：未对接宇树机器狗提供特定的sdk，未实现手势控制，建图导航等能力均未在AGIROS系统上验证。：控制系统完全迁移到AGIROS系统，需要迁移激光雷达，深度相机/普通相机等驱动，并开发控制节点，实现建图导航和手势控制两个场景的工作流，对接宇树机器狗提sdk，控制机器狗完成特定动作。：机器狗能够被AGIROS系统控制，对环境进行二维建图，标定位置后，能避障并抵达目的地。人在相机位置手势（剪刀，石头，布）控制机器狗做不同动作。,1.新建OS系统，调雷达驱动，相机驱动，宇树机器狗sdk调试，建图调试，导航调试，标定调试，图像采集和手势识别，开发业务流，调试定位精度，解决AGIROS软件包问题等。2. 激光雷达，深度相机/相机，树莓派单板，机器狗等硬件，需要整合电池包和单板，网线等，放到机器狗身上，牢固美观。3.风险控制：通过优先级控制风险，项目目标优先级为：建图导航（高），手势识别（中），跟随（低），根据最终结果做出评价。4. 总结整个开发过程，整理成文档。
在BMQ调度算法中实现无锁的抢占队列，全局运行队列和优先级级别全局运行队列锁,进阶,"[[""os"",""Linux""]]",在ELF BMQ(Enqueue Lock-Free BMQ)设计中，需要实现全局运行队列，为了最大化优化全局运行队列性能，需要实现每个CPU的无锁的抢占队列，和优先级级别的全局运行队列锁。本选题目标为在BMQ算法中实现以上功能，并修订由此引起的设计改动。,1. 在开发分支上完成本选题目标2. 开发分支上的内核编译的BMQ调度算法可以通过虚拟机和真实机器测试
基于AI大模型提升社区翻译效率,基础,"[[""cloudnative"",""Cloud Native""],[""datas"",""AI""],[""cloudnative"",""Docker""]]",为加速openEuler国际化进程，本项目旨在构建智能翻译辅助系统，通过AI大模型技术优化社区文档本地化流程。系统将深度分析Gitee平台的PR差异文件（diff），利用大模型能力实现：智能变更解析：结合代码上下文生成精准翻译建议；增量式摘要生成：对文档修改内容生成结构化变更摘要（包括修改类型、影响范围等）。术语库动态维护：自动提取领域专业术语并构建持续演进的翻译记忆库翻译人员可通过摘要界面快速获取上下文关联的翻译建议，相比传统人工对比方式，预期提升翻译效率。系统将深度集成到社区CI/CD流程。,1. 基于大模型实现文档智能变更解析，为翻译人员提供参考，提升效率：实现变更影响范围预测（准确率>85%）；总结改动内容（包括修改类型、影响范围等）2. 基于大模型实现翻译pr的语法正确性校验3. 工程化测试体系：单元测试覆盖率≥60%4. 将上述能力集成到社区文档CI/CD流程，实现自动化。5. 全生命周期文档6. API参考文档
Apache Dolphinscheduler 新增 gRPC 任务插件,基础/Basic,"[[""cloudnative"",""Docker""],[""web"",""Vue.js""]]",Apache Dolphinscheduler 是一个分布式的工作流调度系统，支持多种任务类型，并且提供了高扩展的插件机制。该项目旨在为 Dolphinscheduler 添加对 gRPC 任务的支持，使用户能够通过 gRPC 协议调用远程服务并获取执行结果。该插件将允许用户在工作流中定义 gRPC 任务，并提供必要的配置选项，如服务地址、方法名称、请求参数等。通过这个插件，用户可以更方便地集成和调用基于 gRPC 的微服务，提高工作流的灵活性和可扩展性。要求可配置性高，使用方便，与Apache Dolphinscheduler插件体系保持一致。,1. 主要需求2. 非功能性需求
扩展OpenManus 可视化生成能力,基础/Basic,"[[""datas"",""AI""],[""datas"",""LLM""]]",基于OpenManus（https://github.com/mannaandpoem/OpenManus）已有的可视化能力。目前已经集成了VMInd 到 OpenManus 做数据分析，处理和可视化生成，在此基础上做特定场景的能力增强和标注能力。成果会被合入OpenManus ，相当如同时在VMInd 和 OpenManus 贡献了代码。,1. 完成3个特定场景的生成优化2. 完善智能标注能力3.  梳理完整的功能需求、设计、Demo文档
为 Cloudpods 服务编译打包 RISC-V 镜像,进阶,"[[""cloudnative"",""Docker""],[""os"",""RISC-V""],[""os"",""Linux""]]",Cloudpods 是一个使用 Go 编写，能够以容器化方式运行在 K8s、K3s 和 docker compose 上的私有云+多云管理平台。目前已经支持在 x86_64 和 aarch64 架构的系统上运行，现在需要在 RISC-V 架构的系统上运行。为了实现 RISC-V 的支持，需要把各个服务组件使用 docker buildx 编译成支持 X86_64/AARCH64/RISC-V 的多架构镜像。,"1. 将 https://github.com/yunionio/cloudpods 的服务使用 golang 编译成 RISC-V 架构的二进制，再使用 docker buildx 打包成能在 RISC-V 架构系统上运行的容器镜像
2. 代码已 PR 形式提交到 https://github.com/yunionio/cloudpods 仓库"
完善星绽内核的 RISC-V 64 支持,进阶/Advanced,"[[""os"",""RISC-V""],[""os"",""Linux""]]",星绽（Asterinas）是基于 Rust 开发的 Linux 兼容内核，目前主要支持 x86 虚拟机和可信执行环境。对于 RISC-V 当前已实现编译和 QEMU 启动能力。虽然现有 PR#1695 已初步完成异常处理、中断控制器等基础功能，但仍缺乏用户态程序支持，且尚未适配物理开发板。,1. 需突破以下物理硬件特有挑战：实现 SD 卡/UART 启动流程、开发板特定时钟初始化、硬件外设总线驱动适配、物理中断控制器集成。最终目标是在至少一款 RISC-V 物理开发板上完成内核冷启动、串口交互、外设驱动验证及基础用户态程序执行。
AI-Powered API Testing Agent for atest,Basic,"[[""datas"",""AI""],[""datas"",""Database""],[""web"",""Vue.js""]]","is an open-source API development and testing tool. It supports Restful API, gRPC for now. It allows users to make a HTTP request, and verify it in a simple way or advanced way. It's not easy for everyone to remember all kinds of useful usages. Considering AI now have the great power to understand the user requirements and take the actions. The AI agent should have the following features:","1. Users could input their requests on the web page, and they can receive the result2. Agent should be able to support three types of databases at least3. Agent should be an extension of atest4. Agent should be published as a docker image5. Agent should support a local deployment AI and online service"
企业级分布式 MCP 服务部署与调用方案与实现,基础,"[[""datas"",""AI""],[""cloudnative"",""Cloud Native""]]",1. 项目背景如何将普通的 Spring Cloud Alibaba 应用发布为 MCP 服务是当前很多企业关注的重点。首先，框架要支持将 Spring Cloud Alibaba 应用发部位 MCP 服务并实现 MCP 地址、工具等信息的注册；其次，由于 Spring Cloud Alibaba 应用存在分布式多节点部署的特点，框架需要支持智能体快速接入MCP服务并实现流量在多节点间的均衡分布。2. 学生职责&目标在这个项目中，学生将和社区一起共同探索如何将 Spring Cloud Alibaba 服务发布为标准 MCP 服务，包括 MCP 服务的开发、分布式部署方案与实现，MCP 服务的动态发现、负载均衡调用等。3. 学生要求&技术栈,1. 在这个项目中，学生将和社区一起共同探索如何将 Spring Cloud Alibaba 服务发布为标准 MCP 服务，包括 MCP 服务的开发、分布式部署方案与实现，MCP 服务的动态发现、负载均衡调用等。
生物医学可视化开源图鉴项目拓展,进阶,"[[""codelang"",""Programming Language""],[""datas"",""Data Science""],[""datas"",""Scientific Computing""]]",可视化图形作为连接数据与知识的桥梁，是探寻自然客观规律、挖掘和解释科学发现的重要媒介。在当今数据驱动的生物医学研究时代，利用数据可视化相关的编程语言、图形化交互平台或其他人工智能技术完成各类数据挖掘任务已成为生物医学领域研究人员的核心技能之一。目前，指令式数据分析软件包、图形界面软件以及云平台已逐渐成为提升科学研究效率的重要基础设施。如何进一步提高生物医学数据分析相关研究的重复性是科学社区面临的重要挑战之一。另外一方面，对于众多生物医学研究的初学者而言，编程语言、绘图工具的学习曲线陡峭，特别是在将编程代码应用于实际科学研究场景时往往四处碰壁，大量有用有益的指南手册、编程语言函数或示例散落在互联网各处，仍未被充分整合利用、验证和推广。为此，我们发起，为学习、利用和讨论数据可视化、促进可视化数据分析相关软件开发提供一体化的平台和协作社区，希望构建国内/国际别树一帜的生物信息学基础设施。,1. 按照 Bizard 项目文档要求，使用 Quarto 文档（https://quarto.org/）完成 50-100 个 Hiplot 插件的开源可视化教程撰写【Hiplot (org)图表整理https://kdocs.cn/l/cvqDqGQBQL25 】；2. 进行 Bizard 项目网站的优化（https://openbiox.github.io/Bizard/），增强教程文档的展示效果和易用性；3. 整理/构建10-20个生物医学领域常用的/精简数据集，方便可视化探索和教程撰写。
基于MindSpore实现RL+启发式混合算法,基础,"[[""datas"",""AI""]]",任务需求：使⽤MindSpore框架复现 (2021) Combining Reinforcement Learning with Lin-Kernighan-Helsgaun Algorithm for the Traveling Salesman Problem 中提出的⽅法。,1. 基础功能完整：2. 代码结构清晰：3.  相关评估指标符合要求，代码需要有适当的注释并通过clean code标准。4. 最终项目代码需要通过审核并合入MindSpore Quantum代码仓。
基于MCP + Agent实现表格对话、多表格场景应用,基础,"[[""datas"",""AI""],[""datas"",""Database""],[""datas"",""LLM""]]",背景： 在企业数据分析和日常办公场景中，表格（如Excel、CSV等）是核心的数据载体，但用户与表格的交互仍依赖手动操作或简单的Copilot辅助。随着MCP和Agent技术的发展，如何通过自然语言实现表格的自动化查询、跨表关联分析及动态对话交互，成为提升数据生产力的关键需求。预期目标：1. 智能表格对话：基于MCP协议构建表格专属Agent，支持用户通过自然语言对话完成数据查询、筛选、计算、可视化等操作，无需手动编写公式或代码。2. 多表格协同分析：支持跨表格的关联查询、数据融合及一致性校验，解决企业多数据源场景下的分析难题。3. 智能数据获取与动态增强：支持自动化采集外部数据（如API、爬虫）、动态补充关联字段，并通过MCP协议协调多Agent任务流，实现从数据获取到分析的全流程自动化。,1. 项目设计文档（含架构图、原理图、实现细节等）2. 实现表格Agent核心模块（含MCP适配层、多表格操作引擎、智能数据获取模块）3. 提供完整的使用教程文档说明4. 输出一套垂直实用场景
为 Higress 实现基于多个 MCP Server 的 AI Agent，实现对 Higress 的管控/运维诊断,进阶/Advanced,"[[""datas"",""AI""]]",Higress 是一款云原生 API 网关，核心基于 Istio 和 Envoy，支持通过 Wasm 插件和 Golang HTTP Filter 等方式进行扩展，目前已提供数十个开箱即用的插件。MCP（Model Context Protocol，模型上下文协议）是由 Anthropic 推出的一种开放标准，旨在统一 LLM 与外部数据源和工具之间的通信协议。该项目的目标是实现一个 Higress AI Agent 工具，以及多个 MCP Server 能力，使 LLM 能通过调用相应的 MCP 工具，智能地辅助 Higress 的配置运维与诊断分析，帮助进行问题排查与定位，例如查询 Higress 日志和配置，或使用 Istio debug 接口查看配置，Higress 相关的 Kubenetes 资源管理，以及创建 MCP API/Agent API 等。Higress 的 MCP 相关能力可以参考：https://higress.cn/ai/mcp-quick-start,1. 实现 Higress Ops MCP Server，提供配置运维和诊断分析能力2. 实现 Higress API MCP Server，实现 LLM API/MCP API/Agent API/DB API的全生命周期管理3. 实现 Higress Agent，可以组合多个 MCP Server能力，实现对 Higress 统一的智能化管理
Fury Golang序列化类型前后兼容支持,进阶/Advanced,"[[""codelang"",""Programming Language""]]",（1）背景： Fury是一个高性能的序列化库，支持跨语言的二进制协议。目前基于Go语言的应用逐渐增加。Go语言以其高性能和并发特性而被广泛使用，同时也面临着需要与不同版本和类型结构兼容的序列化挑战。针对Go语言的序列化，保证类型的前后兼容性对于长期项目演化和多版本支持至关重要。（2）已有的工作： 目前Fury已经在Java/Python/NodeJS等语言中实现了高效的序列化和反序列化，但在Go中相关工作仍处于早期阶段，只支持在对象类型Schema严格一致时进行序列化和反序列化。随着项目的扩展和复杂性增长，序列化方案需要更加完整且高效，以支持版本演进。（3）存在的不足： 现有的Fury Go序列化机制尚未充分支持结构类型的前后兼容性。在类型更新时，缺乏适配机制来处理新增字段或移除字段，以保证序列化数据的稳定性和一致性。同时，元数据的高效共享机制还未形成最佳实践。（4）希望改进的点： 希望通过实现一种基于元数据共享的类型兼容机制，使得Fury Go序列化能够支持类型的动态更新，并且保证前后版本之间的兼容。通过高效的元数据共享方式，实现对新增、修改、移除字段的智能序列化处理，以减少版本变动带来的开发负担和运行风险。（5）最终项目实现的目标： 最终目标是为Fury Go实现一个能够支持类型前后兼容的序列化框架。该框架将利用Fury二进制序列化协议的元数据共享机制，实现上可以参考Fury Java/NodeJS等语言的实现，最终自动适应类型结构的变化，确保不同版本之间的数据能够被正确序列化和反序列化，提升Fury在Go生态中的应用广度和深度。,1. 实现元数据编码和解析模块，编译时获取类型元数据，并按照Fury元数据协议进行编码2. 实现元数据共享模块，多个相同类型对象只序列化一次类型元数据3. 编译时解析元数据，生成针对类型不一致场景的反序列化器
开发 AIbrix 高级命令行界面（CLI）工具,基础/Basic,"[[""cloudnative"",""Kubernetes""],[""datas"",""AI""],[""datas"",""LLM""]]",本项目的目标是开发一款面向用户的高级 AIbrix 命令行界面（CLI）工具，用于帮助不熟悉 Kubernetes 的用户更高效地管理 AIbrix 工作负载。该 CLI 工具将提供直观的操作方式，与 AIbrix 所使用的自定义资源定义（CRD）进行交互，从而简化工作负载的部署、管理和扩展过程。目前，AIbrix 的工作负载管理依赖 Kubernetes，用户需具备一定的 Kubernetes 概念和操作经验。这对许多希望利用 AIbrix 生成式人工智能（GenAI）推理能力的用户，尤其是缺乏基础设施管理经验的入门用户来说，构成了显著的学习障碍。为降低这一门槛，我们计划构建一个用户友好的 CLI 工具，目标如下：通过该 CLI 工具，AIbrix 将为用户提供更高的可用性与生产力，进一步营造一个包容性强、易于上手的 AI 开发与部署环境。,1. 提供一个统一的client入口 支持对人工智能推理任务的一键部署 按需扩展 实时监控 性能诊断等等
完善 Web3Insights 的 GitHub 数据处理与优化（基于 gharchive）,进阶/Advanced,"[[""datas"",""Database""],[""datas"",""Data Science""],[""datas"",""Structured Database""],[""codelang"",""Programming Language""],[""datas"",""Graph Database""]]",Web3Insights 是一个用于评估 Web3 生态系统、社区和项目库的开源指标系统。完善和优化 Web3Insights 项目中 GitHub 相关数据的整理工作。清洗 gharchive 数据集。识别并过滤掉恶意刷星行为。识别并过滤掉无意义或垃圾（spam）提交。3. 将清洗后的数据进行结构化处理，以便在项目中有效利用。,1. 一个经过清洗、去重、标记（例如，标记恶意行为）的 GitHub 数据集2. 产出的数据需结构化，格式清晰（例如，定义好的文件模式或数据库表结构）3.数据格式和结构需满足 Web3Insights 项目后续分析和使用的需求4. 提供清晰的数据处理流程文档或代码注释
基于xenomai的Rustpilot飞控优化,进阶/Advanced,"[[""os"",""Linux""],[""os"",""RTOS""]]",（1）相关背景Xenomai是双内核架构，可以在同一个板卡上可以运行硬实时和非实时的任务。而随着无人机发展复杂度的上升，RTOS-based的主控难以承载复杂的业务需求，Linux-based的主控具备开发简单，迭代迅速，架构简单的特点，所以这个题目期望在xenomai上支持RustPilot飞控。RustPilot 是一款采用 Rust 语言开发、运行于 Linux 系统的开源飞控软件。项目以简洁性与可维护性为核心，基于模块化设计与仿真驱动开发，为开发者、无人机爱好者及研究人员提供灵活可靠的飞控解决方案，同时降低小型无人机的开发门槛，为低空经济发展降低门槛。（2）已有的工作目前Xenomai已经支持了开源飞控PX4，对接了各部分传感器，成功驱动无人机飞行（3）存在的不足但是PX4不是Linux原生的飞控，架构设计上存在不少和Linux不一致的地方（4）希望改进的点本项目期望基于Xenomai完善Linux原生飞控RustPilot，进行架构方面的优化，并基于Xenomai优化飞控框架的功能和性能（5）最终项目实现的目标在Xenomai上成功移植RustPilot，补全所需要的组件，并进行整体性能的调优,1. 补全Xenomai所需要的驱动2. 完善RustPilot的对应Xenomai的用户态组件3. （进阶）在实机上优化Xenomai驱动RustPilot的性能与可靠性，设备由社区提供
基于RISC-V的高性能多模态AI业务解决方案研发与优化,进阶,"[[""datas"",""PyTorch""],[""os"",""Linux""],[""os"",""RISC-V""]]",当前电信业务（如视频检索、科创大模型）面临多模态数据处理效率低、异构硬件适配性差、国产化生态不成熟等问题。RISC-V架构因其开放性和定制化优势，结合Triton编译器及多模态大模型技术，可为电信AI场景提供高性能、低成本的解决方案。RISC-V芯片SG2044已支持NPU/TPU异构加速。开源框架VideoRAG、LangChain已实现视频检索与知识库问答功能。Milvus向量数据库支持亿级向量检索。Triton编译器与RISC-V硬件的算子适配尚未完成，导致AI框架（如PyTorch）性能未达最优。视频检索场景中，跨模态模型（DeepSeek-VL/Qwen2-VL）的推理速度与精度需进一步提升。RAG框架在RISC-V环境的动态检索策略优化不足，影响多轮对话响应效率。​：实现Triton算子库与RISC-V SG2044芯片的深度适配，优化PyTorch/TensorFlow框架性能。​：提升视频检索场景中跨模态模型（文本/图像/语音）的实时推理能力。​：优化LangChain框架在RISC-V环境的动态检索策略，支持多轮对话的智能推理。​：构建基于RISC-V的电信AI全栈方案（视频检索+科创大模型），验证性能对标NVIDIA GPU生态。,1. 动态RAG引擎：基于LangChain实现多轮对话的动态检索策略，支持上下文关联与冗余过滤。2. 完成RISC-V上关于向量数据库Milvus的安装适配；3. ​性能验证报告：对比RISC-V与NVIDIA GPU在视频检索与科创大模型的性能差异。4. 开源部署套件：提供RISC-V环境的一键部署脚本、适配文档及性能调优指南。
Apache HertzBeat 支持 RISC-V 架构和 Native Build 原生二进制包,基础/Basic,"[[""os"",""RISC-V""]]",Apache HertzBeat 是一个开源的实时监控系统，专注于提供高效、灵活的监控解决方案。目前系统无法在 RISC-V 架构下运行，且启动时需要依赖JRE环境。本需求旨在支持系统在 RISC-V 架构下部署运行，和通过 GraalVM Native Image 技术将项目编译为原生可执行文件。实现以下目标：RISC-V是目前较流行的一种计算机CPU架构，但目前Apache HertzBeat尚未提供RISC-V版本，本需求需要实现RISC-V64下的运行和性能测试和Docker镜像。,1. RISC-V64运行2. GraalVM native build
