这次再试试，虽然可能依旧会失败，会被现实毒打	，但还我这个屡败屡战的深夜轮回重症患者还是想再试试。谢谢所有书友！
龙空空仔细地搜寻了第一颗星球，在这颗星球上没有感受到什么强大的	气息，都是比较弱小的，甚至是微不可察的气息，他判断这个星球的生命层次应该不高。为了不浪费时间，他立刻转向另一颗星球继续寻找。没有，依旧没有找到。有一些气息较为强大，但对他的态度并不好，显然是不认可他。龙空空感觉，这些气息的主人很可能和骑士圣山那些魔兽有一样的选人标准，如果是这样的话，就有点麻烦了。
当龙空空脸色古怪的先走一步之后，房间里就剩下龙当当和凌梦露两个人了。凌梦露只觉得自己的俏脸微微有些发烫，瞬间心乱如麻。刚刚龙当当的话，不只是震住了龙空空，她更是如同受惊的小鹿一般，在心头一阵乱撞。表白，他、他、他…竟然说要和我表白？这…是不是太快了。脑海中飞速回忆着自从认识了这位没有血缘关系的表弟之后新发生的种种，一时之间凌梦露只觉得心乱如麻，就连呼吸都变得有些急促起来了“表姐，你没事儿吧？你怎么脸有点红“啊？你”凌梦露抬头看向他，	不知道为什么，在这一刻她心中第一个念头是，他还挺帅的呀，就是，就是现在大家年纪还这么小，谈恋爱真的合适吗“表姐，如果有的选择，你愿意和子柔琉荧同队吗”龙当当并没有太多想此时表姐的状态，而是若有所思的说道“啊？你说什么”凌梦露一呆，原来和我单独谈不是表白啊？龙当当抬头看向她，看看她脸上的红晕迅速褪去，道“你还没回答我的问题呢”凌梦露的俏脸飞速的恢复正常，只是眼底闪过一抹不易察觉的羞恼，也不知道是对自己的还是对面前这个家伙的“如果有的选，当然还是愿意的。
当月离走出比赛场地的时候，她的目光是始终落在龙当当身上的。全	力爆发三王咆孝之后的邹靓，早已是消耗殆尽，油尽灯枯。<br/><br/> 而她却依旧还是一副游刃有余的模样，高下立判。<br/><br/> 没有三王盾，恐怕邹靓连站在月离面前的资格都没有。不得不说，这件辉煌级极品装备的威能实在是太强了，攻防一体。
而现在，眼前这一战，龙当当终于真正拥有了属于自己的魔法。<br/><br/> 汪常欣现在很难受，水火交融令她全身产生了强烈的压抑感，灵力又被刚刚的净化效果压制，以至于水火两种属性的元素入侵她的体内，在她体内激烈地冲突起来。她不得不用更强的力	量引爆自身的灵力去对抗。<br/><br/> 但是，四个“龙当当”的攻击又到了。
听到巫谛的问话，龙当当实话实说“是逐一出现的，最初出现的是风属性分身，那时候我跟随老师一直学习和修炼风系魔法，等我的修为突破到二阶之后，这风系的分身就出现了，我的修为达到三阶五级左右的时候，出现了火属性分身。四阶七级左右的时	候，出现了水属性分身”<br/><br/> 巫谛微微颔首，道“你这天赋，还真是奇特呢，哪怕我博览群书，也是第一次遇到你这样的情况。
就在龙当当释放出三道分身，加上本体从四个不同的方向朝着子桑琉荧冲过去的时候，令他意想不到的一幕发生了。<br/><br/> 子桑	琉荧在这一刻，突然中断了所有低阶魔法对他的阻挡和攻击，令他身前一清。<br/><br/> 这突如其来的变化让龙当当微微一愣，下意识地放慢了速度，因为他不知道子桑琉荧的目的是什么。
“砰砰砰”砸门声响起。门开，龙空空一脸惊奇的道“老哥，你怎么弄的？我啥时候有这么多弟弟了？咦，你是分身”他一边说着话，才注意到，给自己开门的是眼眸呈献为青碧色的风龙当当。风龙当当开口道“分身怎么了？进来吧”一边说着，将他让了进来。进了门，龙空空一眼就看到，客厅中，龙当当坐在那里，另	外三个分身围着他坐了一圈。
因为发热，周很晚才想起来自家的现状—不如说是亲眼看到实际情况之后，周才后悔把真昼放进来。周住的公寓是一房一厅，另外还有厨房和储藏室。客厅面积挺大，有寝	室，还有储藏室，这对独居生活而言已经相当奢侈了。因为父母还算富裕，考虑到安全和交通，所以最后选择了这里。要求若是要独居的话得住在这里的是父母，所以周并不打算提什么意见。
昨晚熬夜到	三四点，写完设了一个定时发布就去睡觉了，嗯，昨晚大雨，没想到感冒了。今天中午起来码字，一个劲的流鼻涕，吃了药睡午觉，结果一睡就下午五点多了。这个星期累积的疲惫和感冒的原因，让我从昨天三点半到现在，睡了13个小时。今天更新得晚点了。两章应该还是能保证的，今天就不加更了，明天再加更。
推荐一本新书，《	全世界只有我不知道我是高人》，老作者了。嗯，我已经看过了，质量可以保证，书荒的读者可以看一下，传送门在作者说里。不说了，人在酒店，洗完澡了，他在松软的大床上等着我。这个章推很划算，赚了。
今天更新晚一点，	下班之后又做了会儿大纲，感觉更新要挺晚了。可能十二点以后，但不会太晚。到时候给大家整个大章吧，阅读体验会好一点，省的你们嚷嚷：就这就这。
今天写了写	细纲，把内容大致分成三段，如果按照平时的更新，会不停断章。所以今天两章合一，嗯，保守估计有一章有八千字。我尽量在十点前更新。
有事耽	误码字了，晚点更新，还是两章，不会缺。
死了，终于死了.许七安缓缓	吐出一口浊气，高度紧绷之后，带来的是极度的疲惫，这种疲惫来源于身体和心灵。连番的大战，让他状态非常不好，尤其骑龙拼杀这一环节，乍一看他凶猛无比，干脆利索的强杀贞德。其实是以伤换伤，杀敌一千自损八百。贞德的反击，以及玉碎带来的反噬，让许七安遭受极大的创伤。但这一切都是值得的，都是值得的。
第一根钉子封住心脏，阻断气血运输。第二根钉子刺入百会穴，封闭天门，阻断气运交感。许七安的气血和气机同时阻断，一身修为被封。最致命的是，这些刻满佛文的金色钉子，似乎对神殊有特殊伤害，两根钉	子入体，神殊便没了声息。他被封印了。毫无征兆，不管是许七安还是神殊，面对白衣术士的偷袭，两人都没有收到危险预警。虽然重伤在身，各方面状态下滑，对于他们现在的修为来说，这简直荒谬。
许七安侧头，看向慕南栀，征询她的意见。后者摇摇头，嫣然一笑。她高兴在于，许七安总会给她最大的尊重，凡事都要征询她的意见，对于慕南栀来说，这是很新奇的体验	。她觉得自己被人重视了，觉得和他相处时，两人的地位是平等的，而不是附庸关系“抱歉，一路奔波，风尘仆仆，我们不想挪地儿”许七安婉拒了靛青长裙女子。她秀气的眉头皱了皱，倒也没说什么，收回金锭，转身就要走“今儿，你不挪，也得挪”突然，冷笑声传来，那位疑似东海龙宫宫主的俊美男子，跨过门槛，趾高气昂的说道。
看到黑暗中立着一位白衣人影的刹那，许七安心脏仿佛漏跳了几个节拍，头皮瞬间发麻，身上每一个鸡皮疙瘩都凸显出来了。这不只是做私密事时受到外人围观引起惊吓，更因为经历许平峰突袭后，许七安对突然出现，没有心理防备的白衣人产生了非常可怕的应激障碍症。他以毒蛊的能力结合唾沫，嘴里喷吐出漆黑的，腐蚀万物的毒液。然后，扑倒在慕南	栀丰满软绵的娇躯，试图带着她阴影跳跃。
一路向西.天宗圣子脸色微变，皱眉道“为何”许	七安没有回答，接着说道“去雷州“万万不可”李灵素条件反射般的大喊道。许七安嘴角一挑“你也可以离开”真是个性格恶劣的前辈啊.李灵素内心腹诽，叹息一声，道“前辈，东方姐妹也要去雷州，咱们此行必会碰上”虽然天蛊部“移星换斗”的力量可以掩盖天机，但只要双方遭遇，东方姐妹必定认出他。
“你是何人”高大威猛的侍卫审视着李灵素，见此人仪表堂堂，俊美不凡，顿时不敢大意“告诉会长，就说李灵素要见他”圣人负手而立，气度斐然。其中一名侍卫看了他几眼，匆匆跑入商会内部。大概半刻钟，一名富家翁打扮的中年人，狂奔而出，在大门口顾盼，锁定了李灵素“杨会	长，一别半载，别来无恙”李灵素右手握左手大拇指，左手抱右手背，形成一个太极鱼。
一个时辰	后，急促的马蹄声响起，蜿蜒的山道上，扬起阵阵尘埃。一支骑兵队伍狂奔而来，为首的女子穿着浅蓝色交领襦裙，她有一双好看的黛玉眉，眉型相对平缓，没有突出的眉峰，整体看起来非常温柔。她的五官自然是上上之选，眼波清澈明亮，唇瓣丰而不厚，鼻子挺拔且精致。雷州属于高原，紫外线较强，她的皮肤比一般的女子要深，但这无损她的美丽，这种透着健康的肤色反而更让人欣赏。
黑漆漆的枪口对准自己，加长版的枪身，粗大的口径，以及持枪之人冷漠无情的表情.这一切都让小和尚心里发紧，毛骨悚然。他能单枪匹马打退几名江湖人士，走的是武僧的道路，但距离炼神境尚远，绝对无法避开火铳的弹丸攻击。小和尚眼珠子一转，悄悄收敛怒意，隐藏桀骜，笑容满面“施主莫要冲动，佛门之地，禁止杀生。几位若是真想进寺，小僧，小僧这就去通报”李灵素阴阳怪气道“不敢不敢，哪里敢劳	烦佛爷，我们只是一群凡夫俗子”说话间，他打开了火铳的保险。
“混账东西”东海龙宫的门徒	勃然大怒，揪住李灵素的脖颈，就要动手打人“大爷饶命，大爷饶命”李灵素抬起手抵挡，一边用嘶哑的声音求饶，一边暗骂徐谦，老头子不讲武德。求饶并没有什么作用，东海龙宫的门徒一拳把他打趴，李灵素立刻蜷缩起来，护住头，一副默默承受挨打的姿态。又一名门徒加入围殴队伍，教训这个敢冲撞队伍的家伙。
玲珑小巧的小狐狸，脖子上挂着一个袖珍版的小皮包。会说人话？狐妖.知道我的真实身份.许七安差	点给它来一套“大威天龙”掌，目光在窗外环顾一番，道“进来说话”小狐狸“嘻嘻”一声，四条小短腿一蹬，从窗沿跃入屋内。许七安目光追逐着这只小狐妖，看着它迈动优雅的四肢，走到桌边，奋力一跃，没能跃上桌面，小肚子撞在了桌沿“哎呀”它痛叫一声，后肢乱蹬，终于爬上桌子，蹲下来，乌溜溜的眼睛里闪烁着好奇和兴奋，观察着许七安。
随着浮屠宝塔开启的时日将近，越来越多的江湖人士涌向金光山，试图闯入三花寺	。双方产生了不小的摩擦，但总体还算克制，一众江湖人士没有强闯，而是在寺外叫嚣。三花寺的武僧们守在寺庙外，与越来越多的江湖人士对峙。供奉着佛陀的大殿内，主持盘龙大师坐在蒲团，与首座以及几名长老商议对策“那天宗圣女李妙真竟也来搅混水，实在可恶”身为主持接班人的首座，沉声道“如今江湖人士越聚越多，赶也赶不走，如何是好”一名长老皱眉。
这一刹那，一道道目光投在自己身上，其中两道目光让许七安有种芒刺在背的感觉。寺庙深处，那道源自三品金刚的目光，带着审视。而那道来自伊尔布的目光，则透着森寒。在场江湖人士们	，默默拉开距离，免得这个神秘高手被三品灵慧师或护法金刚“惩戒”时，自己因为靠的太近而殃及池鱼。他们不满巫神教的灵慧师诋毁许银锣，但也只敢小声哔哔，弱弱抗议，像青衣男子这般跳出来嘲讽的行为，与自杀没有任何区别。
许七安尝试小跑“如履平地”不受阻碍，他当即把佛子的事抛到脑后，那位颜值爆表的琉璃菩萨被监正打伤，两三年无法离开阿兰陀。护法金刚，乃至其他罗汉，即使对自己有威胁，但只要懂得迂回、绕路，规避危险，罗汉也不是那么可怕。打不过，还可以跑。而面对琉璃菩萨擅长速度和控制的一品高手，逃都逃不走。柳芸步履艰难的走着，当走入这条菩萨罗汉分列两侧	的道路后，巨大的威压从天而降，这股难言的压力并不施加肉身，而是施加于人们的内心。
“娘子，该如何行房”新郎的语气有些急，似乎从没有碰过女人。新娘被问懵了，好半天才回复，羞道“这，这.夫君怎么问我，妾身又岂会知晓”新郎不悦道“可我听说，女子出阁时，都有家中妇人传授经验…新娘细声细气“很，很简单的“啊，娘子你夹我腰做甚“别，别说出来…夫君虽未纳妾，难道连通房丫鬟都没有吗？再说，烟花之地没去过”新娘细若蚊吟道“	不曾去过青楼，也不曾有过通房丫鬟。
金光来自地书碎片。塔灵老和尚伸出手掌，让金光落在自己掌心，那是一块铭刻佛文的铜牌。原本还在思考着可能是大乘佛法的缘故，才让塔灵和尚说出这样的话，可当许七安看清那块佛牌时，神色顿	时无比古怪。这东西，是当初干掉镇北王副将褚相龙，从他身上舔包舔来的。当时，许七安只是粗略查看，便丢到地书碎片里不闻不问“这是”他盯着老和尚掌心，斟酌试探“这是象征法济菩萨身份的佛牌，见此牌，便如见菩萨”塔灵老和尚微笑。
斟酌片刻，他坦然道“宝物不能与你们分享，不管是那道	龙气还是浮屠宝塔，都是独一无二的。这点你们能明白”听他这么说，众人心里一沉，难掩失望。许七安脸色如常，补充道“但我可以适当的给你们补偿，让诸位不至于白来一趟”一句话峰回路转。有补偿.雷州江湖人士们面面相觑，露出喜色。在宝物“单一”的情况下，由最强的人独得，其余人收获补偿，这确实是最稳妥最能服众的办法“什么补偿”有人问道“必然让你们满意就是”许七安道。
净心深吸一口气，平复激荡的内心，道“度难师叔，你是说，他”度难金刚淡淡道“除了不知浮屠宝塔为何跟他走，本座基本可以断定便是此人”净缘武僧沉声道“他，他竟还敢出来行走江湖？想杀他的人比比皆是，真是胆大包天”西域众僧人神色激动，哪怕是净心这样的禅师，方才也险些控制不住自己的情绪。三花寺的和尚云里雾里，盘龙主持看了眼净心和净缘，又看一眼护法金刚，问道“度难师兄似是识出此人了”度难金刚没有作答，语气低沉的开口“所有人退出去，不得靠近”众僧	目光交换，沉默的起身，躬身合十，离开了禅房。
原来七号真的是天宗圣子，没想到在这里偶遇他.楚元缜目光一闪，对那位素未谋面的七号产生了些许兴趣。早在李妙真混迹云州剿匪时，天地会成员就知道七号和她有极为亲密的关系，不然，也不会在被人追杀的危难之际，将地书碎片交给李妙真保管。再结合天宗有圣子圣女的制度，不难猜测，	那位七号极可能是天宗的圣子，李妙真的师兄或师弟。
杨千幻缓缓道“经过这段时间的反思，我终于明白自己和许七安的差别在哪里“差在哪里呢”钟璃像个合格的捧哏。杨千幻没有回答，而是反问“钟师妹可还记得许七安是从何时开始，受百姓爱戴的”钟璃歪着头，发丝垂落，露出一双明亮的眸子，声音轻软“京察时连破大案”那会儿钟璃作为一个小可怜被“镇压”在楼底，还不认识许七安，后来慢慢的才了解许七安的过去“并不是，京察时他虽出尽风头，但名声只在官场流传，市井百姓略有	耳闻，但远谈不上爱戴”杨千幻声音低沉，娓娓道来“真正让京城百姓记住他的，是佛门斗法和云州之行，后来菜市口刀斩国公，名声达到巅峰。
—刚码了两千字，感觉状态不对劲，文章没问题，是我人有问题，精神疲惫，无法专心思考。困的要死。	另外半章我打算明天再码，今天三更。
门房见这位年轻公子一表人才，俊美不凡，不像是坑蒙拐骗之辈，略作犹豫，道“公子稍等”他转身匆匆跑进府，大概一刻钟后，急促脚步声传来，一位女子飞奔着冲出来，她穿着素色长裙，眉如远黛，樱桃小嘴，皮肤白嫩白嫩，像是能掐出水来。三十出	头的少妇，穿着朴素，却难掩傲人身材，发丝间别着一朵白花，她最让人侧目的是淡淡的忧愁，没来由的让人怜惜“杏儿”李灵素面带微笑，风度翩翩的一枚浊世佳公子。
慕南栀脸色微变，反应比许七安还剧烈“臭和尚追到这里来了”许七安眉头皱了一下，问道“什么情况”说话的时候，他目光望向后花园入口，只要一看见光头僧人的身影，就立刻开启战斗模式“我刚才旁听片刻，他们是为屠魔大会来的，净心等人路过湘州，听说了柴贤弑父恶	行，特意上门问询情况，打算干预此事。呵，佛门僧人向来喜欢行侠仗义，以此彰显佛门慈悲”李灵素讥笑道。
猫的四肢	有厚厚的肉垫，平地奔跑，悄无声息。即使是耳目聪明的高手，若非仔细聆听，也不可能捕捉到橘猫奔行的动静。当然，就算听到了，也没人会在意一只野猫。许七安在柴府待了半天，对柴杏儿的住所，只知道一个大概方位。橘猫“漫无目的”的在内院走走停停，不多时，终于找到柴杏儿的闺房，那是一座四合小院，主屋的厢房里，烛火摇曳。
做梦了？慕南栀仔细审视他，过了一阵，见没有发生不好的事，顿时松了口气“臭小子臭小子”她伸出手，削了许七安几个头皮，一阵暗爽。王妃悄悄发泄着一路上被冷落的不满，虽然这家伙对自己还算不错，除了偶尔几次露宿荒山，大多数时候都住最好的客栈，吃最美味的食物。但未免也太相敬如宾了吧。除了孙玄机那次他稍稍做的“过分”些，平	日里，顶多握一下她的小手。
柴贤没有立刻回答，措辞片刻，道“我自幼父母双亡，无依无靠，在湘州乞讨为生。后来义父收养了我，	他待我极好，甚至比亲儿子还要器重。因此，三个兄长都讨厌我，憎恶我“唯独小岚真诚待我，从未因为我的过去而瞧不上我”说到这里，柴贤恍惚了一下，仿佛又回到多年前，那个炎热的盛夏，浑身脏臭的小乞丐被领回柴府，躲在屏风后的少女探出脑袋，悄悄打量，两人目光相对，他自卑的低下头。
豫州。熙熙攘攘的街道，冰夷元君牵着劣徒李妙真，在路人诧异的目光中，进入某间客栈。客栈外的墙壁上，画着一朵九瓣莲花。李妙真被牵着进了客栈，冰夷元君在客栈大堂停下，浅色的双眼徐徐扫过二楼，像是在寻找什么。几秒后，她牵着劣徒，穿过大堂，拾阶而上“咚咚”冰夷元君目的性明确的敲开某间房门。吱~房门无声无息的敞开，李妙真一眼便看见了房内的景象，陈设简单，床榻上盘坐着	一位中年道士，面容清瘦，青须垂到胸口“玄诚师兄”冰夷元君表情冷淡的开口招呼“玄诚师叔”李妙真脸色冷漠，语气没有丝毫波动。
守在门口的柴家子弟让开道路，李灵素推开半敞开的房门，里面的景物映入视野。一间不大的房子，站了两排直挺挺的尸体，他们曾经戴着头套，现在全被摘除，丢在地上。两排尸体间，是柴杏儿和三名族老，一位头发稀疏，一位身材魁梧，一位则是断臂。这些就是铁尸？李灵素移动视线，看向了浅蓝色长裙的美丽人妻。后者也在看他，双眼宛如清澈的秋潭，带着几分温柔，几分不满“你怎么过来了“听说昨夜有人入侵地窖，便过来看看”李灵素无视三名族老审视的目光，走到柴杏儿身边，笑道“没有丢失什么吧”柴杏儿摇摇头，转头对三名族老说道“贼人能深夜潜入柴府，不惊动守卫，打扰看守地窖的族人，说明他对柴府的环境、防卫了如指掌”一位头发稀疏的族老沉吟道“杏儿的意思是，柴贤干	的“除了他还有谁”柴杏儿冷笑反问。
许七安没有要求进屋坐坐，因为这很失礼，家里没有男人的情况下，这样做甚至会造成一些流言蜚语。当然，许七安知道母女俩的警惕和紧张，不是因为以上的顾虑，	而是“心里有鬼“小丫头，你认识柴贤吗”许七安问道。听到这句话，小姑娘整个人傻了，愣愣的看着他，有一种因为年纪太小而手足无措，不知该如何应对的茫然。年轻妇人听不懂官话，但见女儿脸色呆滞，立刻意识到不对劲，急忙靠拢过来。
阳光从格子窗里照射进来，尘埃浮动。寂静的环境中，许七安默默的站在屋子里，好一会儿，额头跳起的青筋才收回去，他没什么表情的开始检查现场。桌椅等陈设摆放完整，没有战斗痕迹，男人的颈动脉被利器割破，左侧太阳穴塌陷。瞬间毙命。母女俩的死因是被利器同时刺穿，母亲被刺穿了心脏，但小女孩是右胸被刺穿，许七安摸过她脑袋后，发现真正的死因是被击碎	天灵盖。
“被人窥探了”许七安一愣，走到窗边，目光锐利的四下扫视，俄顷，收回目光“你怎么知道被人窥探”他并没有被人窥探的感觉，虽说三品武夫的修为被封印，但天蛊在这方面只会更敏感“是你走了之后，它突然说有人在看着我们”慕南栀有些后怕“可我在窗边看了半天，也没发现被窥探，把我给吓坏了”许七安脸色沉重的看向小白狐“你有这方面的天赋神通”小白狐摇头，娇声道“我的天赋是潜行和速度”许七安质疑“不是你的错觉”小白狐一个劲儿的摇头“我的直觉从来都不会错的啦“我明白了”许七安道“你们俩暂时待在浮屠宝塔里，我最近查案确实遇到了一些奇怪的事”他唤来客栈小二，	准备了些干粮和清水，以及日常用品，然后祭出玲浮屠宝塔，将慕南栀和小白狐收入其中。
六趾，柴贤！这是许七安脑海里闪过的第一个念头，并为此震惊的脑海刹那间闪过无数念头，无法冷静思考。几秒后，他冷静下来，深吸一口气，仔细审视柴建元。第六根脚趾明显畸形，紧贴着小趾，丑陋又难看。他摸了摸柴建元的脸，确认没有	易容，想判断一具尸体的年龄，除了最直观的容貌，还有其他方法。比如肤质，骨骼，牙齿等，中年人和年轻人的区别是非常大的。
“徐前辈”圣子见到橘猫钻进屋子，先是一愣，继而喜色浮动，低声道“前辈怎么来了，不是说最近几天都不见面吗”橘猫口吐人言，道“是让你别来见我，没说我不见你”顿了顿，他纳闷道“你怎么认出是我“前辈之前不是说过，以心蛊控制了一只猫潜入柴府，遇到了柴贤吗	”李灵素笑道。然后，圣子发现橘猫僵在那里，陷入了沉思。我说错了什么话吗？李灵素脸色茫然。
“大师”陈耳压低声音，试探了一句。见净缘一副	聆听周遭动静的严肃姿态，堂内众人也跟着紧张起来，握紧手里的刀，警惕的环顾四周。他们夜里巡街，防的是谁？可不就是那杀人不眨眼的大魔头，柴贤。没遇到异常的时候，大伙可以嘻嘻哈哈。但一有风吹草动，这群江湖底层的巡逻队员们心里立刻怂半边。毕竟柴贤在湘州，是巅峰级的人物，五品化劲，据说还能操纵四具铁尸“在河里”净缘睁开眼，沉声道。
柴贤.净心目光闪烁一下，不动声色道“施主怎么会在这里”柴贤皱了皱眉，反问道“大师又为何在此”净心收起金钵，凝视着几丈外的黑衣人“贫僧与师弟净缘引蛇出洞，以佛门金刚神功诱出兴风作乱的幕后之人，贫僧一路追到山中，偶遇了施主”说到这里，俊朗的和尚双手合十，满脸慈悲“阿弥陀佛，柴施主，放下屠刀，回头是岸”柴贤沉声道“原来大师也和其他愚蠢之人一样，认定了我是凶手”净心脸色不变，保持合十姿势	，道“施主若不是凶手，为何出现在此”柴贤回答“义父死后，我就卷入了一场阴谋之中，有人刻意陷害我。
柴岚，她是柴岚？地窖里，许七安霍然睁开眼睛，险些无法维持对老鼠的控制。消失的柴岚原来在这里，她一直被柴杏儿秘密关押在祠堂密室？他定了定心神，操纵老鼠，说道“是柴杏	儿将你关押在此”蓬头垢面的女子点了点头。所以柴岚的失踪确实与柴贤无关，一切都是柴杏儿所为.我明白了，终于理清脉络.许七安叹息般的吐出一口气，然后，他爬到柴岚身边，沿着她臭烘烘的身体，爬到肩膀。
话音落下，净缘	快如鬼魅的拖出残影，眼皮子一眨间，杀到恒音身前“回头是岸”恒音双手合十，垂首，悠然道。戒律的力量瞬间扩散，影响了内厅所有人。净缘以违背力学原理的姿势，无视惯性一个折转，又回到了原地。对于化劲武者来说，打牛顿的脸是家常便饭“你不是他，你是恒音师兄”净缘眉毛扬起，认出了他的身份。同时，这位四品武僧有些愤怒，柴贤也好，许七安也罢，一个两个的，都喜欢用傀儡伪装骗人。
柴杏儿露出无辜且茫然的笑容“徐前辈此话怎讲“怎讲”许七安笑眯眯的反问“这一切的幕后黑手，难道不是你吗”李灵素脸色微变。净心等和尚，也诧异的看了过来，包括已经醒转，脸色苍白的净缘	。柴杏儿摇摇头“前辈，你误会我了”女人不愧是戏子，她的眼神语气，诚挚又无辜，看不出丝毫心虚。你在堂堂大奉许银锣面前装模作样.许七安“呵”了一声“先别急着否认，听我说完“这段时间以来，我对柴建元的案子查的还算深入，咱们从头梳理案件，首先，按照你的说法，柴建元是在书房被柴贤杀的，时间是夜里，当你们赶到的时候，看见屋内有柴贤和柴建元“而后者已经死了，对吗”柴杏儿点头“这是柴府众人有目共睹的事，前辈难道以为我说谎“你当然没有说谎，你看到的都是真的，但未必是事实”许七安道“柴建元和柴贤都是五品化劲，铜皮铁骨防御了得，即使柴贤出其不意的偷袭，想在短时间内杀死柴建元，根本不可能。
龙脉脱离宿主的刹那，净心似有感应，抬头望向房梁。其他人纷纷抬头，看见了这道半透明半真实的龙气，与散碎的小股龙气不同，九道至关重要的龙气是可以	被看见的。完整形态的龙脉，当初从地底被抽离时，京城目睹过的百姓不知凡几。但寻找到宿主后，龙气就不可见了。许七安早有准备，隔着袍子，轻扣藏在小腹的地书碎片，嘴唇开阖，念动咒语。
京城。昨夜下了场大雪，今早起来，院子里银装素裹，薄薄的积雪覆盖了花圃、青石板铺设的地面。婶婶的清晨，是被一阵银铃般的笑声吵醒的。她下意识的去推身边的丈夫，发现他已经起床当值去了。婶婶蹙着精致的眉，在温暖的被窝里坐起身，舒展腰肢，屋内炭火熊熊，睡在卧屋的丫鬟每隔一	个时辰，就会添一些兽金炭。这种炭烧起来没有一点烟味，反而有松枝的清气。
“说起来，许家当年也是大户人家啊”王首辅没来由的感慨一声。许新年眼皮子一跳，沉默片刻，道“云州那边的事，朝廷打算如何解决”元景帝伏诛后，有两份卷宗被列为机密，封在内阁的密室里。其中一份只有正三品以上的实权官员，以及大学士能查阅。卷宗内容是当年	的探花郎、监正二弟子许平峰，勾结五百年前皇室遗脉，在云州建立根据地，秘密发展，试图谋反。
净心和净缘得到消息，带着众僧前来迎接。度难金刚瞅见爱徒净缘，一眼便洞悉了他的伤情“刀意在体内生生不息，难以磨灭。这是他打伤的”柴杏儿暗中派泄露消息后，净心便立刻以秘法通知度难金刚，度难已经知道许七安身在湘州。净缘脸色苍白，微微点头，惭愧道“弟子无能，未能留下佛子”度难金刚淡淡道“进去再说”众僧进了柴府，在大厅中入座，净心把湘州发生的经过，一五一十的	告之度难金刚“那柴杏儿据说是“天机宫”探子，已通报给上级，佛子未杀我等，是怕探子前来，发现事情败露后，大杀一通”净心做最后总结“可惜了”度难金刚遗憾道“我早些赶来一步，便可擒拿佛子，完成伽罗树菩萨的嘱咐”他起身离椅，走到净缘身边，手掌按住净缘右肩，淡金色的气机涌入爱徒体内，震碎了脏腑、经脉中残余的刀意。
收集两条龙气后，许七安如今对龙气的感应范围大幅提升，能将周边大大小小，十几条街道尽数纳入感应范围。如今，他清晰的感应到了龙气宿主的存在，离客栈不远。召开武林大会果然是明智之举，趁着佛门的人没到，打一波时间差，把雍州城能感应到的龙气统统收入囊中.不再犹豫，他扭头朝着慕南栀和小白狐说道“我出去一趟，很快回来”怀抱	小白狐，站在窗边看风景的慕南栀“嗯”了一声。
国师到了！许七安险些喜极而泣的喊一声：阿姨我不想努力了。定了定神，他传音回复“不是	三天“三天之内”洛玉衡言简意赅的回答。似乎是因为要双修的缘故，她的声音显得特别冷淡，一股子端着的劲儿“国师，我遇到了些麻烦，被佛门的金刚缠住了，速来救我。我们在雍州城南三十里的山脉里碰头”许七安急切传音“佛门金刚.你和佛门因何事产生冲突，是龙气”洛玉衡问道“他要带我回西域，遁入空门，四大皆空”许七安也言简意赅的回复“马上过来”洛玉衡再没废话。
翩若惊鸿，婉若游龙.清纯可爱，欲拒还休.	妖冶放荡，颠倒众生.成熟妩媚，风情万种.她就那么冷淡的坐着，可李灵素脑海里，却浮现出种种截然不同的类型。这女子似乎包含了世间一切的美好，能满足男人心中对异性最深切的渴求，不管你是喜欢什么类型，都能在她身上找到自己的那一款，或多款。看到她的刹那，李灵素觉得自己何苦在芸芸众生中寻求情缘“世上竟有如此迷人的女子”天宗圣子心里小鹿乱撞，沉迷女色，不可自拔。
我要斟酌一下角色的心	理变化，尽量把人物的内心表达透彻一点。对，只写心理变化。更新要零点以后，尽量凌晨一点半前更新吧。写个五六千字的大章。明早看。对了，热心读者说要帮我补充细节，我说，这不关我的事。
“你怎么来了”许七安连忙起身，语气也跟着小心翼翼。慕南栀看了他一眼，冷笑道“我说呢，为什么神神秘秘的，既不回客栈，也不让我见你。原来是偷偷摸摸和洛玉衡好上了”卧槽，她怎么知道我和国师的关系，这不对啊.许七安心里槽点无数，表情	冷静“你误会了，没有这样的事”他试图用花言巧语糊弄慕南栀，仍然不相信花神转世会洞悉他与洛玉衡双修之事。
许七安推开卧室的门，空气中弥漫着清幽的檀香，屋内漆黑一	片，没有点烛。他借着外室透出来的微弱灯光，走到桌边，捻亮了灯芯。然后再把床榻边的两排蜡烛逐一点亮，一簇簇明艳的火苗燃烧，焰心静谧，焰头跳跃，驱散着房间里的黑暗。这时候，他才有时间去观察洛玉衡，松软的锦塌上，她穿着道衣侧卧着，衣裳下有着成熟女子动人曲线。
许七安眼神茫然，不知道她无端的发什么怒。旋即，似乎想到了什么，一边随口敷衍，一边暗中观察“昨晚操劳过度，乏了，于是	过来泡个澡。国师，用过午膳了吗”许七安笑道。听到“操劳过度，洛玉衡白皙的脸庞爬上两抹晕红，嗔怒的瞪他一眼“正要寻你用膳”两人旋即返回，来到温暖如春的卧室里，青杏圆的丫鬟搬来了长条案，上面摆满粥、肉包、糕点、油条、酱菜等早膳。
